benchmark;queries;location;timestamp;change size;classes;methods;fields;instructions;warmup iterations;measure iterations;times(ms)
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310317756959;1;367;0;0;0;1;1;;0.399058
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310317831231;1;367;0;0;0;1;1;;0.380644
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310317840576;1;367;0;0;0;1;1;;0.375513
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310317857034;1;367;0;0;0;1;1;;0.362533
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310317908139;1;367;0;0;0;1;1;;0.344723
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310317914317;1;367;0;0;0;1;1;;0.348647
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310317926844;1;367;0;0;0;1;1;;0.35076
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310317939558;1;367;0;0;0;1;1;;0.359514
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310317954159;1;367;0;0;0;1;1;;0.311217
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310317999134;1;367;0;0;0;1;1;;0.403887
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310318123460;1;367;0;0;0;1;1;;0.399661
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310318486441;1;367;0;0;0;1;1;;2.659077
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310318508843;1;367;0;0;0;1;1;;0.409925
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310318742251;1;367;0;0;0;1;1;;0.412943
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310319184009;1;367;0;0;0;1;1;;0.408113
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310319192058;1;367;0;0;0;1;1;;0.412641
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310319211449;1;367;0;0;0;1;1;;0.418377
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310319225208;1;366;0;0;0;1;1;;0.346232
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310319232119;1;365;0;0;0;1;1;;0.345025
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310319241666;1;364;0;0;0;1;1;;0.353477
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310319507850;2;364;0;0;0;1;1;;3.626233
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310319517210;2;364;0;0;0;1;1;;3.585784
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310319751594;2;364;0;0;0;1;1;;3.56073
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310319942920;1;364;0;0;0;1;1;;0.404492
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310319952140;2;364;0;0;0;1;1;;3.466851
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310320267372;1;364;0;0;0;1;1;;0.421093
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310320534059;1;364;0;0;0;1;1;;0.42049
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310334784697;1;364;0;0;0;1;1;;0.441016
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310336213850;1;364;0;0;0;1;1;;0.379135
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310336641508;1;364;0;0;0;1;1;;0.428942
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310336676460;1;364;0;0;0;1;1;;0.460335
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310336758529;1;364;0;0;0;1;1;;0.457015
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310337083110;1;364;0;0;0;1;1;;0.411434
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310337095199;1;364;0;0;0;1;1;;0.434074
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310337259967;1;364;0;0;0;1;1;;2.74903
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310337282717;1;364;0;0;0;1;1;;0.432564
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310337449962;1;364;0;0;0;1;1;;0.46607
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310337597244;1;364;0;0;0;1;1;;0.445846
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310337614216;1;364;0;0;0;1;1;;0.478748
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310337943178;1;364;0;0;0;1;1;;0.467881
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310337963627;1;364;0;0;0;1;1;;0.485993
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310337975487;1;364;0;0;0;1;1;;0.487502
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310338047602;1;364;0;0;0;1;1;;0.480258
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310338076253;1;364;0;0;0;1;1;;1.131368
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310338107410;1;363;0;0;0;1;1;;0.73231
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310338252967;1;363;0;0;0;1;1;;0.762797
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310338755065;1;363;0;0;0;1;1;;0.40419
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310340970832;26;337;0;0;0;1;1;;16.088184
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310341089881;3;334;0;0;0;1;1;;2.525052
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310341287613;42;295;0;0;0;1;1;;26.341733
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310341291624;312;13;0;0;0;1;1;;248.873462
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310341299778;29;13;0;0;0;1;1;;18.732771
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310341371494;74;12;0;0;0;1;1;;49.976093
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310341375450;279;6;0;0;0;1;1;;211.637634
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310417935736;42;6;0;0;0;1;1;;25.643835
